subject,party,poll_start,poll_end,pollster,grade,sample_size,population,poll_weight,poll_influence,approve,disapprove,approve_adjusted,disapprove_adjusted,registered_voter,likely_voter
Trump,I,2020-04-15,2020-04-20,Global Strategy Group/GBAO (Navigator Research),B/C,38.563333,registered voter,0.03735773,0,34,50,36.356821,49.607295,TRUE,FALSE
Trump,I,2020-04-17,2020-04-19,YouGov,B+,610,unregistered,0.34269649,0,43,45,41.635428,50.30531,FALSE,FALSE
Trump,I,2020-04-17,2020-04-19,Morning Consult,B,676,unregistered,0.38616564,0,42,43,44.38227,45.247297,FALSE,FALSE
Trump,I,2020-04-16,2020-04-20,AP-NORC,NA,190.26,unregistered,0.37238064,0,32,NA,33.325433,NA,FALSE,FALSE
Trump,I,2020-04-17,2020-04-19,YouGov,B+,424,unregistered,0.23820215,0,41,44,39.635428,49.30531,FALSE,FALSE
Trump,I,2020-04-18,2020-04-19,Morning Consult,B,540,registered voter,0.3083525,0,36,57,38.38227,59.247297,TRUE,FALSE
Trump,I,2020-04-17,2020-04-20,American Research Group,C+,377,unregistered,0.56556859,0,43,44,43.481711,43.973334,FALSE,FALSE
Trump,I,2020-04-16,2020-04-22,UCLA Nationscape,NA,2300,unregistered,0.32849223,0,34,44,39.67943,48.921342,FALSE,FALSE
Trump,I,2020-04-16,2020-04-21,Global Strategy Group/GBAO (Navigator Research),B/C,38.793333,registered voter,0.03742687,0,35,48,37.356821,47.607295,TRUE,FALSE
Trump,I,2020-04-19,2020-04-19,Climate Nexus,NA,232,registered voter,0.37923073,0,40,50,39.984841,50.624866,TRUE,FALSE
Trump,I,2020-04-19,2020-04-20,Harris Insights & Analytics,B+,278,registered voter,0.30135874,0,50,50,46.327466,49.646325,TRUE,FALSE
Trump,I,2020-04-17,2020-04-22,Global Strategy Group/GBAO (Navigator Research),B/C,112.42,registered voter,0.10822054,0,33,47,35.356821,46.607295,TRUE,FALSE
Trump,I,2020-04-19,2020-04-21,YouGov,B+,607,unregistered,0.34586448,0,39,44,37.635428,49.30531,FALSE,FALSE
Trump,I,2020-04-20,2020-04-22,YouGov,B+,674,unregistered,0.38822966,0,52,48,50.635428,53.30531,FALSE,FALSE
Trump,I,2020-04-14,2020-04-28,Gallup,B+,339,unregistered,0.65311007,0,50,47,48.190969,46.877243,FALSE,FALSE
Trump,I,2020-04-18,2020-04-25,Firehouse Strategies/Ãptimus,NA,245.025,unregistered,0.17652089,0,43,57,42.964767,54.358722,FALSE,FALSE
Trump,I,2020-04-17,2020-04-26,PureSpectrum,NA,6417.88,unregistered,1.213524,0,36,41,38.013702,45.401119,FALSE,FALSE
Trump,I,2020-04-20,2020-04-23,Global Strategy Group/GBAO (Navigator Research),B/C,55.55,registered voter,0.05351836,0,37,49,39.356821,48.607295,TRUE,FALSE
Trump,I,2020-04-21,2020-04-24,Global Strategy Group/GBAO (Navigator Research),B/C,56.925,registered voter,0.05478078,0,37,52,39.356821,51.607295,TRUE,FALSE
Trump,I,2020-04-21,2020-04-25,Suffolk University,B+,331,registered voter,0.65711048,0,39,55,39.168507,55.431225,TRUE,FALSE
Trump,I,2020-04-21,2020-04-26,Marist College,A,297.85,registered voter,0.62925705,0,40,58,40.397425,56.879577,TRUE,FALSE
Trump,I,2020-04-21,2020-04-26,ABC News/The Washington Post,A+,423.36,unregistered,0.8102721,0,45,54,43.482092,53.778514,FALSE,FALSE
Trump,I,2020-04-24,2020-04-26,YouGov,B+,395,unregistered,0.23899433,0,44,40,42.635428,45.30531,FALSE,FALSE
Trump,I,2020-04-22,2020-04-27,Global Strategy Group/GBAO (Navigator Research),B/C,37.803333,registered voter,0.0362814,0,39,53,41.356821,52.607295,TRUE,FALSE
Trump,I,2020-04-24,2020-04-26,Morning Consult,B,685,unregistered,0.39359825,0,37,50,39.38227,52.247297,FALSE,FALSE
Trump,I,2020-04-21,2020-04-28,Firehouse Strategies/Ãptimus,NA,321.981,unregistered,0.2067169,0,44.7,55.2,44.664767,52.558722,FALSE,FALSE
Trump,I,2020-04-23,2020-04-28,Global Strategy Group/GBAO (Navigator Research),B/C,37.106667,registered voter,0.03549916,0,32,58,34.356821,57.607295,TRUE,FALSE
Trump,I,2020-04-23,2020-04-29,UCLA Nationscape,NA,2300,unregistered,0.32610963,0,32,48,37.67943,52.921342,FALSE,FALSE
Trump,I,2020-04-26,2020-04-28,YouGov,B+,582,unregistered,0.35567498,0,40,49,38.635428,54.30531,FALSE,FALSE
Trump,I,2020-04-25,2020-04-29,Change Research,B-,484.3748,likely voter,0.72169984,0,37.8,62.2,38.875265,59.053532,TRUE,TRUE
Trump,I,2020-04-26,2020-04-28,Emerson College,A-,352,registered voter,0.70219323,0,30.5,51.5,31.999138,52.076998,TRUE,FALSE
Trump,I,2020-04-24,2020-04-29,Global Strategy Group/GBAO (Navigator Research),B/C,110.44,registered voter,0.10548141,0,27,65,29.356821,64.607295,TRUE,FALSE
Trump,I,2020-04-25,2020-05-02,Firehouse Strategies/Ãptimus,NA,244.34438,unregistered,0.14290259,0,40.2,59.8,40.164767,57.158722,FALSE,FALSE
Trump,I,2020-04-27,2020-04-30,Global Strategy Group/GBAO (Navigator Research),B/C,55.44,registered voter,0.05294425,0,34,57,36.356821,56.607295,TRUE,FALSE
Trump,I,2020-04-29,2020-04-30,Ipsos,B-,192,unregistered,0.11220748999999999,0,39,60,39.804129,57.611538,FALSE,FALSE
Trump,I,2020-04-28,2020-05-01,Global Strategy Group/GBAO (Navigator Research),B/C,56.21,registered voter,0.0535334,0,42,55,44.356821,54.607295,TRUE,FALSE
Trump,I,2020-04-28,2020-05-03,ABC News/The Washington Post,A+,412.05,unregistered,0.78457101,0,41,59,39.482092,58.778514,FALSE,FALSE
Trump,I,2020-04-27,2020-05-04,Ipsos,B-,2910.96,unregistered,1.6629695,0,40,58,40.804129,55.611538,FALSE,FALSE
Trump,I,2020-04-30,2020-05-04,Monmouth University,A,291,unregistered,0.60266043,0,38,52,37.759196,52.429871,FALSE,FALSE
Trump,I,2020-04-28,2020-05-05,Firehouse Strategies/Ãptimus,NA,322.8885,unregistered,0.17969551,0,36.7,63.3,36.664767,60.658722,FALSE,FALSE
Trump,I,2020-05-01,2020-05-03,YouGov,B+,390,unregistered,0.2426117,0,40,47,38.635428,52.30531,FALSE,FALSE
Trump,I,2020-04-29,2020-05-04,Global Strategy Group/GBAO (Navigator Research),B/C,37.18,registered voter,0.03520029,0,42,54,44.356821,53.607295,TRUE,FALSE
Trump,I,2020-05-01,2020-05-03,Morning Consult,B,678,unregistered,0.38850211,0,35,51,37.38227,53.247297,FALSE,FALSE
Trump,I,2020-05-02,2020-05-03,Morning Consult,B,495,registered voter,0.28418871,0,34,57,36.38227,59.247297,TRUE,FALSE
Trump,I,2020-04-30,2020-05-05,Global Strategy Group/GBAO (Navigator Research),B/C,36.85,registered voter,0.03471968,0,34,62,36.356821,61.607295,TRUE,FALSE
Trump,I,2020-04-30,2020-05-06,UCLA Nationscape,NA,2300,unregistered,0.32528441,0,32,45,37.67943,49.921342,FALSE,FALSE
Trump,I,2020-05-01,2020-05-06,Global Strategy Group/GBAO (Navigator Research),B/C,111.54,registered voter,0.10474691,0,41,54,43.356821,53.607295,TRUE,FALSE
Trump,I,2020-05-02,2020-05-05,Civiqs,B-,618.4,unregistered,0.80912223,0,40,52,39.624372,52.808836,FALSE,FALSE
Trump,I,2020-05-03,2020-05-05,YouGov,B+,559,unregistered,0.34786954,0,39,46,37.635428,51.30531,FALSE,FALSE
Trump,I,2020-05-04,2020-05-05,YouGov,B+,602,unregistered,0.37549566,0,38,52,36.635428,57.30531,FALSE,FALSE
Trump,I,2020-05-04,2020-05-07,Global Strategy Group/GBAO (Navigator Research),B/C,55.55,registered voter,0.0522323,0,42,53,44.356821,52.607295,TRUE,FALSE
Trump,I,2020-05-02,2020-05-09,Firehouse Strategies/Ãptimus,NA,227.32875,unregistered,0.12339441,0,39.5,60.5,39.464767,57.858722,FALSE,FALSE
Trump,I,2020-05-06,2020-05-07,Ipsos,B-,186,unregistered,0.12668958,0,37,62,37.804129,59.611538,FALSE,FALSE
Trump,I,2020-05-05,2020-05-08,Global Strategy Group/GBAO (Navigator Research),B/C,56.21,registered voter,0.0527888,0,39,53,41.356821,52.607295,TRUE,FALSE
Trump,I,2020-05-05,2020-05-10,ABC News/The Washington Post,A+,433.01,unregistered,0.84052089,0,47,52,45.482092,51.778514,FALSE,FALSE
Trump,I,2020-05-06,2020-05-11,Global Strategy Group/GBAO (Navigator Research),B/C,37.4,registered voter,0.03487736,0,37,57,39.356821,56.607295,TRUE,FALSE
Trump,I,2020-05-07,2020-05-10,SSRS,C,444.8,unregistered,0.54931443,0,42,55,41.670608,54.742715,FALSE,FALSE
Trump,I,2020-05-08,2020-05-10,Morning Consult,B,719,unregistered,0.41087169,0,35,51,37.38227,53.247297,FALSE,FALSE
Trump,I,2020-05-05,2020-05-12,Firehouse Strategies/Ãptimus,NA,305.1015,unregistered,0.1624716,0,41.8,58.2,41.764767,55.558722,FALSE,FALSE
Trump,I,2020-05-08,2020-05-10,YouGov,B+,415,unregistered,0.25954829,0,37,46,35.635428,51.30531,FALSE,FALSE
Trump,I,2020-05-07,2020-05-12,Global Strategy Group/GBAO (Navigator Research),B/C,36.996667,registered voter,0.03437984,0,28,60,30.356821,59.607295,TRUE,FALSE
Trump,I,2020-05-07,2020-05-13,UCLA Nationscape,NA,2300,unregistered,0.32528441,0,32,43,37.67943,47.921342,FALSE,FALSE
Trump,I,2020-05-08,2020-05-13,Global Strategy Group/GBAO (Navigator Research),B/C,111.1,registered voter,0.10301885,0,28,62,30.356821,61.607295,TRUE,FALSE
Trump,I,2020-05-10,2020-05-12,YouGov,B+,568,unregistered,0.352458,0,42,45,40.635428,50.30531,FALSE,FALSE
Trump,I,2020-05-11,2020-05-13,YouGov,B+,621,unregistered,0.38577719,0,42,58,40.635428,63.30531,FALSE,FALSE
Trump,I,2020-05-09,2020-05-16,Firehouse Strategies/Ãptimus,NA,245.97788,unregistered,0.1299431,0,40.9,59,40.864767,56.358722,FALSE,FALSE
Trump,I,2020-05-11,2020-05-14,Global Strategy Group/GBAO (Navigator Research),B/C,55.55,registered voter,0.0516953,0,32,58,34.356821,57.607295,TRUE,FALSE
Trump,I,2020-05-13,2020-05-14,Harris Insights & Analytics,B+,510,registered voter,0.70143983,0,41,59,37.327466,58.646325,TRUE,FALSE
Trump,I,2020-05-12,2020-05-15,Global Strategy Group/GBAO (Navigator Research),B/C,166.815,registered voter,0.1553005,0,43,49,45.356821,48.607295,TRUE,FALSE
Trump,I,2020-05-13,2020-05-14,Harris Insights & Analytics,B+,276,registered voter,0.37960273,0,46,54,42.327466,53.646325,TRUE,FALSE
Trump,I,2020-05-14,2020-05-18,AP-NORC,NA,211.2,unregistered,0.41995279,0,40,NA,41.325433,NA,FALSE,FALSE
Trump,I,2020-05-13,2020-05-18,Kaiser Family Foundation,NA,386,unregistered,0.77010378,0,46,52,43.826792,53.134677,FALSE,FALSE
Trump,I,2020-05-15,2020-05-17,Morning Consult,B,517,registered voter,0.28518,0,40,54,42.38227,56.247297,TRUE,FALSE
Trump,I,2020-05-15,2020-05-17,YouGov,B+,399,unregistered,0.25062544,0,38,47,36.635428,52.30531,FALSE,FALSE
Trump,I,2020-05-14,2020-05-18,Quinnipiac University,A-,410.13,registered voter,0.76957737,0,41,56,40.061501,55.818809,TRUE,FALSE
Trump,I,2020-05-12,2020-05-19,Firehouse Strategies/Ãptimus,NA,328.6965,unregistered,0.1758458,0,37.5,62.5,37.464767,59.858722,FALSE,FALSE
Trump,I,2020-05-14,2020-05-20,UCLA Nationscape,NA,2300,unregistered,0.32528441,0,28,46,33.67943,50.921342,FALSE,FALSE
Trump,I,2020-05-15,2020-05-18,Global Strategy Group/GBAO (Navigator Research),B/C,222.42,registered voter,0.20872642,0,32,58,34.356821,57.607295,TRUE,FALSE
Trump,I,2020-05-15,2020-05-18,Morning Consult,B,590,registered voter,0.3245051,0,30,60,32.38227,62.247297,TRUE,FALSE
Trump,I,2020-05-17,2020-05-19,YouGov,B+,569,unregistered,0.3563458,0,36,50,34.635428,55.30531,FALSE,FALSE
Trump,I,2020-05-17,2020-05-20,American Research Group,C+,377,unregistered,0.56502043,0,41,50,41.481711,49.973334,FALSE,FALSE
Trump,I,2020-05-17,2020-05-20,Fox News/Beacon Research/Shaw & Co. Research,A,156.91,registered voter,0.34110591,0,29,64,30.431142,62.50949,TRUE,FALSE
Trump,I,2020-05-16,2020-05-23,Firehouse Strategies/Ãptimus,NA,245.29725,unregistered,0.13811814,0,36.8,63.2,36.764767,60.558722,FALSE,FALSE
Trump,I,2020-05-20,2020-05-21,Ipsos,B-,256,unregistered,0.29917989,0,35,65,35.804129,62.611538,FALSE,FALSE
Trump,I,2020-05-20,2020-05-21,YouGov,B+,464,unregistered,0.29257579,0,39,52,37.635428,57.30531,FALSE,FALSE
Trump,I,2020-05-21,2020-05-25,Global Strategy Group/GBAO (Navigator Research),B/C,222.64,registered voter,0.2170198,0,36,47,38.356821,46.607295,TRUE,FALSE
Trump,I,2020-05-19,2020-05-26,Firehouse Strategies/Ãptimus,NA,658.482,unregistered,0.39406439,0,36.6,63.4,36.564767,60.758722,FALSE,FALSE
Trump,I,2020-05-22,2020-05-24,YouGov,B+,416,unregistered,0.26145343,0,36,53,34.635428,58.30531,FALSE,FALSE
Trump,I,2020-05-21,2020-05-25,Morning Consult,B,715,unregistered,0.38428941,0,38,50,40.38227,52.247297,FALSE,FALSE
Trump,I,2020-05-20,2020-05-25,Fairleigh Dickinson University (PublicMind),A/B,244,unregistered,0.50531168,0,48,52,46.141593,52.894109,FALSE,FALSE
Trump,I,2020-05-21,2020-05-27,UCLA Nationscape,NA,2300,unregistered,0.32528441,0,29,49,34.67943,53.921342,FALSE,FALSE
Trump,I,2020-05-22,2020-05-26,Morning Consult,B,557,registered voter,0.29896181,0,27,62,29.38227,64.247297,TRUE,FALSE
Trump,I,2020-05-21,2020-05-26,McLaughlin & Associates,C/D,310,likely voter,0.43034765,0,41,58,39.377313,58.032019,TRUE,TRUE
