CZ,CZ Name,State,Census 2000 population,Urban Areas,Frac. Black,Racial Segregation,Income Segregation,Segregation of Poverty (<p25),Segregation of Affluence (>p75),Frac. with Commute < 15 Mins,Household Income per capita,Gini,Top 1% Income Share,Gini Bottom 99%,Frac. Between p25 and p75,Local Tax Rate,Local Government Expenditures Per Capita,State Income Tax Progressivity,State EITC Exposure,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile (Income Adjusted,High School Dropout Rate (Income Adjusted),Number of Colleges per Capita,College Tuition,College Graduation Rate (Income Adjusted),Labor Force Participation Rate,Manufacturing Employment Share,Growth in Chinese Imports 1990-2000,Teenage Labor Force Participation Rate,Migration Inflow Rate,Migration Outlflow Rate,Frac. Foreign Born,Social Capital Index,Fraction Religious,Violent Crime Rate,Fraction of Children with Single Mothers,Fraction of Adults Divorced,Fraction of Adults Married,Income Growth 2000-2006/10
24300,Chicago,IL,"8,183,799",1,0.188,0.431,0.115,0.104,0.12,0.201,45757,0.521,19.375,0.328,0.443,0.034,2784,0,0.476,6.148,18.5,-7.514,0.035,0.01,9793,-0.143,0.661,0.154,1.184,0.004,0.011,0.018,0.174,-0.533,0.571,0.002,0.208,0.083,0.521,-0.007
24400,Rockford,IL,"622,573",1,0.064,0.205,0.076,0.074,0.076,0.4,37848,0.343,8.898,0.254,0.56,0.021,1783,0,0.476,5.363,18.1,-1.328,0.008,0.016,6199,-0.039,0.667,0.254,1.954,0.005,0.023,0.015,0.05,0.663,0.529,0.002,0.2,0.1,0.571,-0.011
24500,Rolla,MO,"111,509",0,0.05,0.155,0.036,0.041,0.035,0.463,26402,0.365,8.074,0.284,0.588,0.01,1536,0,0,5.264,15.6,2.588,-0.008,0.018,4410,0.289,0.635,0.129,4.171,0.004,0.03,0.03,0.033,-0.632,0.481,0.001,0.177,0.089,0.597,-0.009
24600,Farmington,MO,"137,456",0,0.015,0.104,0.023,0.024,0.022,0.368,27773,0.384,10.866,0.276,0.599,0.012,1358,0,0,4.863,16.4,0.327,-0.004,0.007,1800,-0.039,0.572,0.204,5.628,0.005,0.017,0.012,0.008,-0.126,0.56,0.001,0.19,0.105,0.59,-0.001
24701,St. Louis,MO,"2,325,609",1,0.195,0.41,0.113,0.103,0.117,0.241,42680,0.471,15.666,0.314,0.476,0.022,1896,0,0,6.356,17.2,-5.332,0.004,0.014,9685,-0.023,0.668,0.142,0.8,0.005,0.013,0.014,0.033,0.432,0.509,0.003,0.247,0.103,0.53,-0.007
24702,Mexico,MO,"37,989",0,0.055,0.103,0.011,0.008,0.012,0.463,30615,0.349,8.936,0.26,0.632,0.014,1301,0,0,5.536,15.3,-3.478,0.01,,,,0.597,0.228,7.134,0.005,0.02,0.022,0.008,0.882,0.66,0.001,0.197,0.109,0.57,-0.006
24801,Jacksonville,IL,"84,748",0,0.04,0.219,0.029,0.023,0.034,0.472,30777,0.34,8.008,0.26,0.634,0.015,1361,0,0.476,4.401,18.1,2.465,0.007,0.024,11828,0.248,0.615,0.158,1.233,0.006,0.01,0.01,0.02,1.224,0.582,,0.183,0.105,0.598,0.003
24802,Springfield,IL,"267,992",1,0.078,0.23,0.087,0.077,0.097,0.367,40182,0.429,17.164,0.257,0.527,0.019,2261,0,0.476,5.01,19,0.902,-0.015,0.015,5550,-0.042,0.668,0.065,0.191,0.006,0.015,0.016,0.017,1.834,0.566,0.002,0.228,0.118,0.556,-0.006
24900,Edwardsville,IL,"382,997",1,0.057,0.21,0.045,0.037,0.054,0.336,36421,0.367,11.462,0.253,0.57,0.017,1584,0,0.476,4.466,19.7,2.163,0.009,0.013,4505,0.004,0.634,0.158,0.483,0.005,0.018,0.017,0.011,0.59,0.507,,0.204,0.104,0.573,-0.002
25000,Quincy,IL,"152,421",0,0.037,0.1,0.036,0.034,0.037,0.496,31869,0.364,8.906,0.275,0.624,0.015,1588,0,0.476,5.08,18.2,2.451,-0.001,0.039,8819,0.05,0.635,0.183,0.683,0.006,0.007,0.007,0.009,1.277,0.579,0.001,0.194,0.102,0.585,0.003
25101,Mountain Home,AR,"64,068",0,0.001,0.007,0.005,0.006,0.002,0.393,32623,0.464,12.33,0.34,0.506,0.012,992,1,0,4.895,17.2,5.828,-0.007,0.016,1200,0.029,0.499,0.225,1.417,0.004,0.014,0.013,0.013,-0.44,0.433,0.001,0.19,0.104,0.653,0.002
25102,West Plains,MO,"90,551",0,0.002,0.016,0.011,0.01,0.011,0.416,26979,0.412,9.392,0.318,0.488,0.008,1252,0,0,4.706,15.2,2.757,-0.014,0.011,2190,-0.006,0.554,0.204,9.312,0.003,0.011,0.013,0.01,0.122,0.524,0.001,0.184,0.101,0.633,-0.012
25103,Harrison,AR,"76,174",0,0.001,0.12,0.015,0.017,0.014,0.419,29629,0.418,9.6,0.322,0.537,0.014,1558,1,0,4.871,17.2,5.503,0.002,0.013,1176,-0.097,0.586,0.209,0.714,0.004,0.013,0.013,0.03,0.176,0.455,0.002,0.177,0.114,0.625,-0.003
25104,Heber Springs,AR,"51,737",0,0.002,0.014,0.013,0.012,0.01,0.364,32635,0.404,8.657,0.318,0.51,0.011,952,1,0,4.875,17.1,6.815,0.021,,,,0.51,0.203,3.186,0.004,0.019,0.016,0.011,-0.446,0.488,0.001,0.167,0.104,0.657,-0.014
25105,Batesville,AR,"64,601",0,0.015,0.054,0.019,0.013,0.029,0.375,29503,0.371,6.777,0.304,0.545,0.017,1433,1,0,4.942,15.9,5.831,0.001,0.046,4117,0.008,0.539,0.239,0.574,0.004,0.013,0.015,0.01,0.094,0.626,0.001,0.166,0.11,0.63,-0.004
25200,Henderson,KY,"151,629",1,0.065,0.104,0.033,0.029,0.034,0.401,31361,0.381,7.515,0.306,0.564,0.011,1604,0.2,0,5.944,17.2,-2.106,0.001,0.013,1150,-0.024,0.59,0.224,0.719,0.004,0.007,0.01,0.009,0.128,0.651,0.001,0.208,0.109,0.609,-0.008
25300,Union City,TN,"117,387",0,0.081,0.124,0.016,0.016,0.014,0.403,30330,0.391,7.44,0.316,0.561,0.013,1641,0,0,5.136,14.9,3.748,-0.009,0.017,2492,0.101,0.588,0.28,4.407,0.004,0.013,0.014,0.017,-0.11,0.713,0.001,0.209,0.1,0.587,-0.008
25401,Paducah,KY,"138,654",0,0.061,0.22,0.053,0.049,0.054,0.378,34572,0.487,16.296,0.324,0.527,0.014,1698,0.2,0,5.039,17.6,1.106,-0.006,0.022,968,0.029,0.591,0.145,1.741,0.004,0.009,0.009,0.008,0.592,0.677,0.001,0.21,0.114,0.604,-0.003
25402,Murray,KY,"34,177",0,0.035,0.077,0.041,0.045,0.042,0.521,28383,0.494,14.14,0.353,0.531,0.011,2208,0.2,0,6.148,15.8,2.752,-0.022,0.029,2172,0.097,0.621,0.177,25.405,0.004,0.019,0.017,0.027,-0.6,0.602,0,0.196,0.084,0.554,-0.002
25500,Centralia,IL,"141,040",1,0.044,0.172,0.036,0.035,0.036,0.407,33265,0.351,9.007,0.261,0.611,0.015,1687,0,0.476,4.316,20.2,4.951,0.009,0.014,5554,0.057,0.625,0.187,0.754,0.005,0.01,0.012,0.009,0.998,0.649,,0.182,0.097,0.606,0
25601,Carbondale,IL,"265,022",1,0.082,0.218,0.05,0.062,0.038,0.418,28913,0.397,9.027,0.307,0.568,0.014,1606,0,0.476,4.463,18.3,3.485,-0.004,0.011,2760,0.017,0.572,0.123,0.85,0.004,0.01,0.009,0.02,0.629,0.524,,0.218,0.104,0.559,-0.008
25602,Harrisburg,IL,"37,978",0,0.032,0.104,0.02,0.015,0.021,0.429,29680,0.399,9.9,0.3,0.577,0.014,1782,0,0.476,4.601,17.3,4.534,0.009,0.026,6048,-0.018,0.533,0.079,0.316,0.004,0.007,0.009,0.008,1.206,0.525,,0.199,0.111,0.582,0.008
25701,Cape Girardeau,MO,"184,036",1,0.075,0.203,0.042,0.044,0.038,0.436,30141,0.453,11.114,0.342,0.54,0.016,1658,0,0,4.671,16,-3.501,0.017,0.016,3329,0.16,0.63,0.179,3.373,0.005,0.009,0.01,0.008,0.344,0.536,0.001,0.225,0.101,0.576,-0.002
25702,Poplar Bluff,MO,"73,576",0,0.029,0.112,0.032,0.027,0.031,0.401,28334,0.456,9.572,0.36,0.481,0.011,1175,0,0,4.817,16.2,-4.995,0.011,0.014,2484,-0.114,0.534,0.204,1.071,0.004,0.012,0.009,0.011,-0.443,0.338,0.002,0.214,0.119,0.594,-0.009
25800,Blytheville,AR,"105,181",0,0.238,0.228,0.033,0.033,0.035,0.475,26795,0.448,7.453,0.374,0.419,0.012,1499,1,0,4.637,15.9,-12.888,0.029,0.01,1152,-0.07,0.565,0.287,3.356,0.004,0.012,0.016,0.012,-1.007,0.6,0.002,0.306,0.111,0.539,-0.006
25900,Jonesboro,AR,"198,671",1,0.043,0.146,0.038,0.032,0.043,0.442,29115,0.429,9.279,0.336,0.554,0.011,1341,1,0,4.696,17.1,0.329,0.003,0.025,2432,-0.003,0.615,0.247,5.676,0.004,0.013,0.011,0.012,-0.394,0.627,0.001,0.198,0.111,0.591,-0.006
26001,Roseau,MN,"20,860",0,0.002,0.104,0.01,0.011,0.008,0.533,33398,0.411,21.65,0.194,0.715,0.021,5152,2.5,17.286,6.615,17,10.027,-0.024,,,,0.707,0.4,0.645,0.007,0.007,0.01,0.028,1.191,0.671,0,0.126,0.084,0.626,0.012
26002,Duluth,MN,"286,544",1,0.008,0.098,0.061,0.064,0.056,0.437,34404,0.322,7.461,0.247,0.608,0.021,3445,2.5,17.286,6.838,17.7,7.505,0.004,0.031,4584,0.053,0.628,0.091,0.408,0.005,0.011,0.012,0.018,2.081,0.533,0.001,0.218,0.104,0.545,0.003
26003,West Cook UT,MN,"5,168",0,0.003,0.037,0,0,0,0.588,39706,0.336,,,,0.038,4652,2.5,17.286,6.391,16.9,,,,,,0.672,0.062,0.05,,0.013,0.007,0.023,3.963,0.474,0.001,0.19,0.103,0.599,0.013
26004,International Falls,MN,"14,355",0,0.002,0.006,0.013,0.012,0.012,0.618,37115,0.352,12.528,0.227,0.611,0.018,3124,2.5,17.286,7.259,16.8,-0.029,0.009,0.139,6322,-0.194,0.601,0.227,1.708,0.006,0.007,0.009,0.058,1.09,0.697,0.001,0.194,0.103,0.584,0.003
26101,Moberly,MO,"56,535",0,0.044,0.087,0.02,0.021,0.02,0.468,29088,0.369,12.936,0.24,0.642,0.017,2002,0,0,5.158,13.8,-2.659,0.006,0.035,2114,-0.062,0.609,0.199,1.468,0.005,0.012,0.015,0.008,0.694,0.64,0.001,0.189,0.11,0.583,-0.009
26102,Marshall,MO,"48,599",0,0.037,0.093,0.025,0.021,0.032,0.559,31245,0.352,8.005,0.272,0.607,0.014,1563,0,0,5.395,14.9,-2.981,0.002,0.021,11500,-0.026,0.62,0.171,1.541,0.006,0.015,0.015,0.019,0.857,0.651,0.002,0.188,0.101,0.58,-0.008
26103,Brookfield,MO,"22,192",0,0.016,0.076,0.006,0.003,0.007,0.475,31879,0.309,6.202,0.247,0.625,0.014,1326,0,0,5.365,13.3,-0.06,-0.027,,,,0.6,0.215,0.853,0.004,0.01,0.014,0.006,1.201,0.687,0.001,0.174,0.096,0.588,0.001
26104,Trenton,MO,"14,189",0,0.003,0.03,0.005,0.002,0.001,0.497,30864,0.342,7.244,0.27,0.625,0.015,1939,0,0,5.709,13.5,1.442,0.018,0.07,1860,0.102,0.595,0.179,0.233,0.005,0.009,0.009,0.012,1.201,0.749,0.002,0.194,0.099,0.602,-0.006
26105,Polk,MO,"12,442",0,0.001,0.171,0.009,0.003,0.002,0.405,28324,0.312,6.607,0.246,0.583,0.013,1509,0,0,5.69,13.6,-3.398,-0.026,,,,0.59,0.25,0.028,0.004,0.008,0.012,0.036,0.206,0.47,0.001,0.167,0.102,0.61,-0.001
26106,Centerville,IA,"29,873",0,0.002,0.031,0.008,0.01,0.004,0.517,30736,0.333,8.216,0.251,0.638,0.022,1997,2.86,3.714,6.671,13.2,4.502,-0.015,,,,0.598,0.185,0.832,0.005,0.008,0.009,0.008,0.926,0.434,0.001,0.173,0.095,0.608,0.003
26107,Kirksville,MO,"38,491",0,0.008,0.047,0.031,0.035,0.025,0.575,26767,0.433,11.805,0.315,0.565,0.016,1337,0,0,5.052,14.7,5.694,0.002,0.026,3680,0.346,0.618,0.117,3.354,0.005,0.007,0.012,0.014,0.836,0.466,0.001,0.168,0.078,0.506,-0.009
26201,Bismarck,ND,"114,739",1,0.002,0.079,0.038,0.031,0.047,0.541,35396,0.333,12.604,0.207,0.612,0.019,2035,3.44,0,4.835,18.3,5.047,-0.017,0.026,3665,-0.083,0.694,0.048,0.06,0.006,0.017,0.012,0.013,2.551,0.814,0,0.167,0.081,0.596,0.012
26202,East Grant UT,ND,"2,841",0,0,0.005,0.009,0.003,0.006,0.552,30352,0.202,,,,0.023,1741,3.44,0,6.846,11.3,,,,,,0.546,0.03,0.072,,,,0.016,0.463,0.854,0,0.091,0.048,0.651,0.046
26203,Linton,ND,"10,029",0,0,0.009,0.002,0.001,0.002,0.646,34910,0.261,4.489,0.216,0.623,0.022,1456,3.44,0,5.665,13.9,13.552,-0.043,,,,0.541,0.027,0.064,0.005,0,0.012,0.006,2.661,1.024,0,0.086,0.04,0.655,0.017
26204,Steele,ND,"2,753",0,0.002,0.013,0.001,0,0,0.54,29680,0.277,,,,0.023,1649,3.44,0,7.049,12.2,,,,,,0.55,0.031,0,,0.008,0.014,0.008,2.25,0.802,0,0.089,0.048,0.625,0.031
26301,Devils Lake,ND,"22,745",0,0.001,0.452,0.027,0.025,0.022,0.627,32687,0.336,5.591,0.28,0.603,0.023,1716,3.44,0,5.558,14.8,0.439,-0.006,0.088,1628,0.013,0.613,0.06,0.712,0.006,0.004,0.013,0.012,2.389,0.881,0,0.21,0.081,0.547,-0.003
26302,Carrington,ND,"6,516",0,0.001,0.044,0.006,0.011,0.004,0.656,36561,0.321,7.593,0.245,0.682,0.023,1576,3.44,0,4.748,16,6.691,-0.041,,,,0.615,0.112,0.076,0.007,0.004,0.01,0.01,2.557,0.881,0,0.133,0.056,0.63,0.013
26303,Turtle Mountain UT,ND,"16,550",0,0.001,0.46,0.018,0.028,0.006,0.574,25045,0.394,7.113,0.323,0.475,0.016,1726,3.44,0,6.415,12.6,-16.988,0.048,0.06,1344,-0.175,0.58,0.064,3.066,0.005,0.008,0.014,0.012,0.425,1.019,0,0.332,0.097,0.478,-0.009
26304,Minot,ND,"74,541",0,0.017,0.088,0.03,0.035,0.026,0.606,31149,0.322,8.634,0.235,0.678,0.018,1625,3.44,0,4.748,16.5,8.783,-0.027,0.027,2021,-0.034,0.668,0.032,0.09,0.006,0.015,0.024,0.019,1.237,0.614,0,0.156,0.079,0.591,0.016
