CZ,CZ Name,State,Census 2000 population,Urban Areas,Frac. Black,Racial Segregation,Income Segregation,Segregation of Poverty (<p25),Segregation of Affluence (>p75),Frac. with Commute < 15 Mins,Household Income per capita,Gini,Top 1% Income Share,Gini Bottom 99%,Frac. Between p25 and p75,Local Tax Rate,Local Government Expenditures Per Capita,State Income Tax Progressivity,State EITC Exposure,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile (Income Adjusted,High School Dropout Rate (Income Adjusted),Number of Colleges per Capita,College Tuition,College Graduation Rate (Income Adjusted),Labor Force Participation Rate,Manufacturing Employment Share,Growth in Chinese Imports 1990-2000,Teenage Labor Force Participation Rate,Migration Inflow Rate,Migration Outlflow Rate,Frac. Foreign Born,Social Capital Index,Fraction Religious,Violent Crime Rate,Fraction of Children with Single Mothers,Fraction of Adults Divorced,Fraction of Adults Married,Income Growth 2000-2006/10
28603,Phillipsburg,KS,"10,537",0,0.002,0.019,0.007,0.001,0.002,0.652,34879,0.331,10.852,0.222,0.677,0.032,2116,0.2,1.905,8.507,11.9,15.222,-0.03,,,,0.602,0.098,2.728,0.007,0,0.004,0.005,2.311,0.765,0.001,0.114,0.06,0.668,0.005
28604,Colby,KS,"17,107",0,0.004,0.015,0.005,0.002,0.008,0.72,36561,0.286,5.535,0.231,0.662,0.042,3042,0.2,1.905,7.703,11.7,9.678,-0.025,0.058,1056,0.147,0.662,0.028,0.047,0.007,0.003,0.005,0.005,2.534,0.614,0.001,0.117,0.065,0.643,-0.002
28605,Goodland,KS,"8,509",0,0.004,0.006,0.002,0.001,0,0.716,32861,0.353,11.603,0.237,0.678,0.038,2866,0.2,1.905,6.592,13.6,-2.205,-0.035,,,0.528,0.659,0.035,0.047,0.007,0.007,0.004,0.019,2.447,0.481,0.002,0.13,0.061,0.605,0.008
28606,Wano,KS,"5,457",0,0,0.006,0.002,0.005,0,0.661,36524,0.245,,,,0.035,2514,0.2,1.905,7.904,12.6,,,,,,0.618,0.023,0,,,,0.023,2.323,0.682,0,0.114,0.065,0.661,-0.004
28607,McCook,NE,"19,695",0,0.001,0.008,0.009,0.006,0.011,0.681,32797,0.339,8.313,0.256,0.656,0.03,2859,1.72,0,7.169,12.6,10.092,,,,,0.642,0.079,0.112,0.006,0.002,0.009,0.012,1.369,0.63,0.001,0.143,0.084,0.633,0.003
28608,Kearney,NE,"56,033",0,0.004,0.068,0.04,0.029,0.049,0.603,31135,0.379,13.401,0.245,0.64,0.026,1721,1.72,0,7.265,15.2,10.943,-0.024,0.018,2243,0.173,0.71,0.138,0.451,0.007,0.016,0.02,0.022,1.265,0.644,0.001,0.165,0.074,0.567,0.005
28609,Lexington,NE,"48,464",0,0.002,0.308,0.008,0.006,0.008,0.642,33765,0.304,6.246,0.242,0.664,0.03,3189,1.72,0,7.039,14.4,7.094,-0.011,0.021,2486,0.116,0.65,0.203,0.603,0.007,0.01,0.016,0.083,1.83,0.797,0.001,0.139,0.073,0.634,-0.003
28701,Salida,CO,"16,242",0,0.016,0.032,0.023,0.012,0.029,0.644,33185,0.326,4.764,0.279,0.646,0.024,1897,0,1.429,5.695,15.5,6.261,,,,,0.529,0.038,1.359,0.008,0.026,0.022,0.02,0.35,0.531,0.002,0.175,0.1,0.64,0.006
28702,Glenwood Springs,CO,"131,682",0,0.003,0.064,0.035,0.025,0.042,0.424,45256,0.528,29.671,0.232,0.527,0.067,5292,0,1.429,11.906,16.7,-9.601,,0.008,1980,-0.35,0.782,0.024,0.054,0.007,0.025,0.026,0.134,-0.212,0.296,0.001,0.142,0.108,0.521,-0.003
28703,Granby,CO,"12,442",0,0.005,0.022,0.003,0.001,0.003,0.458,40411,0.361,8.12,0.28,0.579,0.082,3926,0,1.429,6.111,14.9,10.263,,,,,0.771,0.032,0.247,0.007,0.027,0.028,0.034,1.425,0.212,0.001,0.139,0.101,0.574,-0.029
28704,Laramie,WY,"33,591",0,0.01,0.036,0.059,0.039,0.074,0.755,26024,0.457,22.854,0.229,0.591,0.015,2985,0,0,6.262,14.5,9.725,0.027,0.06,2166,0.22,0.676,0.041,0.403,0.006,0.028,0.041,0.038,0.666,0.366,0.001,0.203,0.087,0.458,0.019
28800,Fort Collins,CO,"459,601",1,0.005,0.123,0.08,0.077,0.081,0.388,37523,0.398,10.663,0.291,0.538,0.029,3164,0,1.429,5.458,18.9,0.13,,0.009,2261,0.129,0.701,0.146,1.907,0.005,0.04,0.03,0.068,-0.078,0.394,0.001,0.165,0.093,0.567,-0.002
28900,Denver,CO,"2,449,044",1,0.047,0.203,0.125,0.11,0.136,0.23,46181,0.441,17.396,0.267,0.472,0.03,3018,0,1.429,6.045,20.3,-5.737,,0.016,5826,-0.054,0.72,0.09,1.228,0.005,0.023,0.023,0.107,0.317,0.392,0.002,0.191,0.115,0.542,-0.007
29001,Pratt,KS,"18,232",0,0.006,0.016,0.004,0.004,0.005,0.706,35115,0.311,6.88,0.242,0.677,0.037,2894,0.2,1.905,6.334,13.7,10.643,-0.027,0.11,1576,-0.044,0.642,0.053,0.155,0.007,0.009,0.007,0.012,2.265,0.686,0.001,0.159,0.08,0.641,0
29002,Coldwater,KS,"1,967",0,0.001,0,0,0,0,0.648,37696,0.211,,,,0.05,3294,0.2,1.905,10.5,9.6,,,,,,0.613,0.059,0.124,,,,0.01,0.777,0.743,0.001,0.144,0.08,0.647,-0.003
29003,Dodge City,KS,"42,837",0,0.012,0.151,0.016,0.014,0.009,0.62,31771,0.373,7.995,0.293,0.603,0.038,2324,0.2,1.905,5.524,16.4,-4.287,-0.022,0.023,1024,-0.086,0.678,0.202,0.096,0.006,0.008,0.012,0.186,0.719,0.52,0.001,0.143,0.073,0.605,-0.012
29004,Great Bend,KS,"47,227",0,0.015,0.096,0.014,0.015,0.012,0.59,33946,0.288,5.615,0.232,0.67,0.032,2292,0.2,1.905,6.736,14.1,9.964,-0.009,0.021,896,-0.028,0.642,0.1,1.354,0.006,0.01,0.01,0.037,1.878,0.709,0.001,0.16,0.091,0.624,0.005
29005,Hutchinson,KS,"82,076",0,0.026,0.082,0.043,0.032,0.047,0.522,33452,0.352,8.738,0.265,0.629,0.029,2086,0.2,1.905,6.078,14.6,9.217,-0.008,0.024,2482,-0.036,0.621,0.155,0.256,0.006,0.014,0.016,0.02,1.055,0.533,0.001,0.184,0.115,0.595,-0.005
29006,Hays,KS,"38,196",0,0.006,0.039,0.031,0.027,0.038,0.711,33330,0.327,8.124,0.246,0.659,0.029,1881,0.2,1.905,6.468,13.1,17.463,-0.012,0.026,1353,0.107,0.67,0.065,0.712,0.006,0.012,0.017,0.019,1.49,0.536,0.001,0.17,0.081,0.55,0.002
29007,Township 11,KS,"8,631",0,0.018,0.026,0.002,0.002,0.001,0.63,34104,0.28,7.854,0.202,0.702,0.042,3309,0.2,1.905,7.61,12,8.363,-0.017,,,,0.608,0.079,0.02,0.006,0.004,0.009,0.005,1.698,0.683,0,0.162,0.09,0.625,0.018
29008,Center,KS,"5,609",0,0,0.01,0.002,0.002,0.001,0.671,38615,0.286,4.858,0.238,0.67,0.046,3294,0.2,1.905,8.285,10.9,10.459,-0.019,,,,0.624,0.033,0.004,0.007,0,0.003,0.007,2.434,0.888,0.001,0.105,0.082,0.63,0.015
29101,Concordia,KS,"19,894",0,0.003,0.021,0.009,0.009,0.007,0.62,36131,0.329,9.884,0.23,0.683,0.028,2256,0.2,1.905,7.398,12.2,9.956,-0.034,0.05,1020,-0.009,0.613,0.101,2.339,0.007,0.005,0.007,0.011,2.373,0.618,0.001,0.142,0.075,0.614,-0.006
29102,Superior,NE,"11,112",0,0,0.008,0.004,0.005,0.006,0.634,35206,0.419,20.119,0.218,0.685,0.033,2611,1.72,0,7.74,11.7,10.549,,,,,0.615,0.102,0.295,0.007,0,0.011,0.007,2.516,0.864,0,0.126,0.064,0.64,0
29103,Beloit,KS,"11,384",0,0.003,0.014,0.008,0.006,0.008,0.69,36359,0.309,9.313,0.215,0.682,0.027,2243,0.2,1.905,7.754,12.3,14.946,-0.023,0.088,,0.417,0.638,0.102,0.23,0.007,0.005,0.004,0.005,2.018,0.772,0.001,0.121,0.075,0.612,-0.002
29104,Salina,KS,"63,338",0,0.026,0.07,0.069,0.048,0.09,0.594,35541,0.375,11.286,0.262,0.633,0.023,1964,0.2,1.905,5.878,15.7,6.971,-0.021,0.032,5400,0.074,0.692,0.167,0.702,0.006,0.018,0.019,0.035,1.742,0.546,0.002,0.196,0.11,0.59,-0.005
29201,Hiawatha,KS,"21,441",0,0.01,0.115,0.008,0.005,0.005,0.578,34022,0.317,8.562,0.231,0.68,0.021,1956,0.2,1.905,6.534,14.3,15.663,-0.025,,,,0.629,0.139,1.21,0.006,0.009,0.017,0.009,2.298,0.744,0,0.149,0.079,0.609,-0.002
29202,Marysville,KS,"17,448",0,0.002,0.011,0.005,0.001,0.007,0.557,34953,0.346,10.779,0.238,0.652,0.042,4099,0.2,1.905,7.199,12.2,20.071,-0.028,,,,0.634,0.133,0.715,0.006,0.006,0.006,0.009,2.206,0.776,0,0.104,0.065,0.633,-0.002
29203,Manhattan,KS,"143,269",1,0.073,0.139,0.051,0.056,0.049,0.558,28788,0.324,6.743,0.257,0.64,0.027,1680,0.2,1.905,6.102,15.6,14.006,-0.023,0.021,2356,0.243,0.701,0.082,0.14,0.005,0.019,0.032,0.046,-0.177,0.394,0.001,0.171,0.081,0.538,-0.005
29204,Topeka,KS,"324,513",1,0.059,0.128,0.087,0.083,0.092,0.397,35816,0.37,9.003,0.28,0.573,0.025,2006,0.2,1.905,6.66,16.4,4.064,-0.006,0.018,3569,0.143,0.683,0.095,0.509,0.006,0.019,0.02,0.031,1.13,0.397,0,0.216,0.107,0.533,-0.003
29301,Wichita,KS,"553,506",1,0.075,0.216,0.102,0.086,0.113,0.344,38847,0.374,12.404,0.249,0.537,0.024,2058,0.2,1.905,6.149,17.4,-2.99,0.01,0.009,2786,-0.09,0.68,0.244,0.942,0.005,0.016,0.018,0.056,0.478,0.484,0,0.195,0.114,0.577,-0.009
29302,Newton,KS,"75,784",1,0.011,0.073,0.012,0.01,0.015,0.563,36055,0.279,6.387,0.215,0.657,0.025,2175,0.2,1.905,7.414,15.3,14.538,-0.022,0.079,11661,0.112,0.666,0.221,0.746,0.006,0.015,0.018,0.02,2.756,0.626,0.001,0.133,0.078,0.628,0.004
29303,Winfield,KS,"51,584",0,0.019,0.05,0.023,0.022,0.027,0.504,33686,0.362,12.208,0.24,0.643,0.025,2477,0.2,1.905,6.473,14.9,4.974,-0.017,0.039,3652,-0.112,0.613,0.202,0.923,0.005,0.015,0.021,0.02,0.598,0.524,0.001,0.189,0.102,0.606,-0.011
29401,Ottawa,KS,"51,067",0,0.011,0.039,0.02,0.018,0.02,0.444,32282,0.302,6.638,0.235,0.65,0.023,2317,0.2,1.905,6.182,14.9,5.142,-0.017,0.039,3650,-0.08,0.649,0.182,0.927,0.005,0.019,0.02,0.01,0.836,0.487,0.001,0.171,0.101,0.598,0.004
29402,Emporia,KS,"47,830",0,0.017,0.147,0.033,0.034,0.039,0.595,29885,0.313,6.731,0.246,0.63,0.037,2568,0.2,1.905,8.784,14.9,1.357,-0.023,0.042,1692,0.056,0.689,0.198,0.225,0.005,0.011,0.02,0.07,0.753,0.491,0.001,0.172,0.092,0.558,-0.004
29403,Bartlesville,KS,"145,981",0,0.033,0.099,0.045,0.034,0.053,0.529,34266,0.387,7.497,0.312,0.585,0.017,2116,0.2,1.905,5.039,16.3,1.513,-0.007,0.034,1865,-0.083,0.606,0.217,1.122,0.005,0.012,0.015,0.013,0.883,0.624,0.001,0.2,0.107,0.606,0.001
29501,Leavenworth,KS,"85,465",1,0.092,0.089,0.075,0.071,0.072,0.425,33080,0.296,5.759,0.239,0.593,0.019,1378,0.2,1.905,6.836,16,6.203,0,0.023,12305,0.084,0.621,0.106,0.411,0.005,0.047,0.048,0.023,-0.548,0.378,0.001,0.178,0.136,0.564,0.003
29502,Kansas City,MO,"1,762,873",1,0.124,0.306,0.121,0.106,0.134,0.281,42531,0.437,14.187,0.296,0.502,0.026,2569,0,0,6.45,16.2,-0.787,0.004,0.014,4817,-0.102,0.691,0.113,0.508,0.006,0.017,0.016,0.045,0.185,0.487,0.002,0.221,0.113,0.556,-0.006
29503,St. Joseph,MO,"158,300",1,0.033,0.088,0.034,0.029,0.037,0.406,32194,0.366,8.984,0.277,0.612,0.018,1386,0,0,5.093,14.9,-0.567,-0.015,0.019,2148,-0.086,0.614,0.158,1.798,0.005,0.014,0.015,0.009,0.698,0.538,0.001,0.204,0.116,0.562,-0.005
29504,Sedalia,MO,"88,232",0,0.016,0.104,0.019,0.019,0.019,0.437,31289,0.37,8.315,0.287,0.586,0.014,2237,0,0,4.665,15,-2.015,-0.007,0.011,1950,-0.115,0.592,0.202,2.752,0.005,0.021,0.018,0.017,0.7,0.578,0.001,0.203,0.116,0.602,-0.006
29505,Polk,MO,"33,693",0,0.013,0.046,0.015,0.016,0.011,0.569,27754,0.312,6.424,0.248,0.667,0.019,1336,0,0,5.779,12.3,3.919,-0.02,0.059,2369,0.159,0.631,0.169,1.062,0.005,0.01,0.015,0.01,0.927,0.596,0.002,0.146,0.077,0.53,-0.004
29506,Bethany,MO,"18,093",0,0.001,0.012,0.007,0.012,0.006,0.468,31181,0.295,6.668,0.228,0.625,0.016,1696,0,0,5.239,12.8,1.058,-0.004,,,,0.609,0.104,0.794,0.005,0.009,0.008,0.008,2.356,0.751,0.001,0.161,0.088,0.628,-0.006
29601,Columbia,MO,"302,388",1,0.078,0.131,0.075,0.085,0.068,0.422,32705,0.39,11.061,0.279,0.577,0.019,1593,0,0,5.346,15.3,1.566,-0.004,0.033,5571,0.179,0.682,0.092,2.119,0.005,0.019,0.017,0.029,1.107,0.523,0.001,0.209,0.102,0.527,-0.002
29602,Eldon,MO,"79,924",0,0.003,0.021,0.023,0.017,0.027,0.336,34165,0.401,7.975,0.321,0.553,0.017,1062,0,0,4.696,15.7,3.582,-0.013,,,,0.584,0.124,1.891,0.006,0.023,0.019,0.011,-0.929,0.475,0.002,0.181,0.106,0.629,-0.003
29700,Springfield,MO,"440,866",1,0.014,0.067,0.073,0.061,0.084,0.344,31926,0.463,12.472,0.338,0.57,0.014,1639,0,0,4.77,16.5,3.364,0.002,0.023,5048,0.027,0.644,0.144,4.333,0.005,0.02,0.015,0.014,0.311,0.513,0.001,0.19,0.11,0.586,-0.003
29800,Aurora,MO,"137,575",0,0.002,0.053,0.008,0.007,0.008,0.363,31417,0.384,9.762,0.287,0.565,0.014,1288,0,0,5.398,15.3,-0.8,0.001,0.007,,0.263,0.613,0.174,5.418,0.005,0.021,0.022,0.023,-0.161,0.464,0.001,0.176,0.109,0.629,-0.002
29901,Joplin,MO,"266,742",1,0.012,0.101,0.024,0.021,0.026,0.454,30456,0.428,12.377,0.304,0.581,0.016,1445,0,0,4.965,16.8,1.806,0.006,0.03,1858,0.008,0.637,0.212,2.265,0.005,0.014,0.014,0.02,0.232,0.558,0.001,0.202,0.111,0.581,-0.008
29902,Center,MO,"54,651",0,0.004,0.014,0.01,0.011,0.01,0.467,28968,0.342,6.683,0.275,0.581,0.012,1668,0,0,4.534,15.5,0.341,-0.007,0.018,8800,0.247,0.591,0.216,2.036,0.005,0.016,0.015,0.011,0.415,0.529,0.001,0.176,0.109,0.609,-0.005
30000,Russellville,AR,"138,646",0,0.017,0.108,0.021,0.013,0.035,0.404,28758,0.444,10.927,0.335,0.527,0.011,1303,1,0,4.529,17.3,4.951,0.011,0.014,3395,0.083,0.595,0.252,3.638,0.004,0.01,0.013,0.033,-0.927,0.535,0.001,0.176,0.106,0.615,-0.013
30100,Fort Smith,AR,"332,832",1,0.034,0.129,0.037,0.03,0.041,0.371,29347,0.441,10.514,0.336,0.54,0.014,1414,1,0,4.869,16.5,-2.179,0.004,0.009,1241,-0.127,0.589,0.222,1.529,0.004,0.01,0.011,0.036,-0.835,0.619,0.002,0.202,0.119,0.602,-0.001
30200,Muskogee,OK,"152,466",0,0.068,0.113,0.025,0.021,0.027,0.388,27011,0.476,14.553,0.33,0.508,0.014,2018,0,0,5.189,15.3,-4.951,0.004,0.02,4006,-0.094,0.56,0.155,1.016,0.004,0.019,0.02,0.018,-0.712,0.507,0.002,0.231,0.117,0.575,-0.014
30300,Fayetteville,AR,"384,122",1,0.011,0.151,0.046,0.048,0.046,0.378,32612,0.545,20.44,0.341,0.545,0.015,1293,1,0,5.063,18.3,1.533,0.014,0.008,3621,0.105,0.645,0.199,1.225,0.004,0.03,0.016,0.061,-0.967,0.512,0.001,0.168,0.103,0.617,-0.001
30401,Stillwater,OK,"79,601",0,0.033,0.047,0.072,0.071,0.068,0.568,26432,0.408,8.371,0.324,0.552,0.017,2149,0,0,5.159,16.3,0.166,-0.009,0.013,1890,0.218,0.638,0.114,1.493,0.005,0.027,0.033,0.04,0.074,0.554,0.001,0.186,0.089,0.491,-0.009
30402,Tulsa,OK,"921,246",1,0.078,0.167,0.091,0.07,0.108,0.323,36227,0.493,14.218,0.351,0.515,0.016,1931,0,0,4.642,17.3,-5.513,0.016,0.01,4752,-0.109,0.651,0.139,0.618,0.004,0.018,0.019,0.038,-0.121,0.539,0.002,0.214,0.119,0.579,-0.002
30403,Okmulgee,OK,"51,499",1,0.102,0.074,0.024,0.02,0.025,0.369,26343,0.392,7.645,0.316,0.514,0.012,1357,0,0,4.683,16.4,-4.907,-0.009,0.019,1320,-0.055,0.554,0.156,0.266,0.004,0.028,0.03,0.009,-0.717,0.56,0.002,0.224,0.113,0.575,0
30501,Woodward,OK,"26,123",0,0.008,0.049,0.014,0.009,0.02,0.556,32076,0.36,9.308,0.267,0.617,0.02,1641,0,0,5.339,14.2,-0.373,0.011,,,,0.62,0.053,0.127,0.005,0.008,0.012,0.024,-0.036,0.811,0.001,0.162,0.102,0.637,0.012
30502,Enid,OK,"102,415",0,0.031,0.079,0.034,0.03,0.041,0.561,31507,0.372,8.515,0.287,0.595,0.018,1694,0,0,5.108,15.2,0.799,-0.012,0.01,1584,-0.043,0.6,0.097,0.179,0.005,0.012,0.018,0.023,0.78,0.697,0.001,0.184,0.103,0.598,0.004
30601,El Paso,TX,"857,648",1,0.024,0.169,0.096,0.084,0.106,0.28,25721,0.534,13.174,0.403,0.422,0.024,2251,0,0,5.51,16.6,-6.376,0.008,0.009,1436,0.023,0.569,0.129,2.135,0.003,0.021,0.025,0.257,-1.899,0.662,0.003,0.237,0.092,0.548,-0.011
30602,Alamogordo,NM,"81,709",0,0.029,0.133,0.023,0.022,0.023,0.447,29489,0.38,7.508,0.305,0.557,0.013,1520,0,0,4.472,17.7,-5.96,-0.025,0.024,864,-0.242,0.591,0.053,0.943,0.005,0.027,0.029,0.081,-0.483,0.462,0.003,0.224,0.111,0.602,0.001
30603,Truth or Consequences,NM,"13,270",0,0.004,0.006,0.009,0.01,0.01,0.6,32267,0.347,5.967,0.287,0.457,0.01,1867,0,0,4.238,18.4,-18.629,0.037,,,,0.435,0.024,0,0.005,0.008,0.015,0.066,-1.349,0.359,0.002,0.242,0.146,0.557,-0.033
30604,Deming,NM,"61,950",0,0.005,0.072,0.036,0.033,0.034,0.51,26356,0.381,7.628,0.305,0.542,0.015,2356,0,0,4.444,17.8,-16.654,-0.017,0.016,1262,-0.135,0.503,0.039,0.071,0.005,0.018,0.017,0.106,-0.614,0.673,0.002,0.254,0.113,0.559,0.012
30605,Van Horn,TX,"2,975",0,0.006,0.069,0.011,0.007,0.008,0.753,21738,0.441,,,,0.059,2144,0,0,6.778,13.1,,,,,,0.626,0.048,0.474,,0,0.008,0.152,-1.035,0.959,0.002,0.191,0.086,0.589,0.025
30701,Roswell,NM,"113,040",0,0.016,0.073,0.037,0.026,0.046,0.539,30443,0.452,10.401,0.348,0.529,0.012,2279,0,0,4.614,18.1,-10.46,-0.009,0.035,894,-0.192,0.562,0.08,0.236,0.004,0.014,0.019,0.085,0.317,0.674,0.002,0.234,0.109,0.569,0.002
30702,Santa Rosa,NM,"6,920",0,0.009,0.152,0.002,0.003,0.003,0.702,22180,0.381,11.46,0.266,0.477,0.016,2393,0,0,7.364,14.1,-9.72,-0.033,,,,0.487,0.015,0.001,0.006,0.003,0.011,0.037,0.118,0.918,0.004,0.215,0.084,0.559,-0.01
30801,Hobbs,NM,"90,061",0,0.037,0.071,0.033,0.031,0.035,0.598,27195,0.428,9.764,0.331,0.536,0.036,2154,0,0,5.976,17,-7.005,-0.017,0.022,981,-0.193,0.551,0.041,0.096,0.005,0.014,0.017,0.124,-1.065,0.819,0.001,0.185,0.084,0.613,0.009
30802,Lubbock,TX,"287,568",1,0.069,0.184,0.08,0.065,0.096,0.449,30597,0.525,12.472,0.401,0.468,0.032,2460,0,0,6.336,14.5,4.305,-0.007,0.017,2381,0.128,0.64,0.058,0.332,0.005,0.024,0.026,0.037,-0.877,0.639,0.002,0.23,0.098,0.53,-0.001
30901,Clovis,NM,"73,078",0,0.045,0.1,0.055,0.05,0.061,0.617,28205,0.436,13.37,0.302,0.553,0.014,1511,0,0,4.674,16.6,-7.413,-0.014,0.027,1221,-0.108,0.619,0.075,0.13,0.005,0.018,0.023,0.079,-0.742,0.639,0.001,0.214,0.099,0.587,-0.009
30902,Littlefield,TX,"29,588",0,0.03,0.038,0.01,0.005,0.014,0.607,29302,0.434,9.154,0.342,0.479,0.042,1755,0,0,6.744,13,3.218,-0.012,,,,0.584,0.109,0.041,0.005,0.016,0.022,0.093,-0.861,0.866,0.001,0.14,0.077,0.619,-0.011
30903,Amarillo,TX,"240,752",1,0.053,0.223,0.079,0.063,0.099,0.438,33188,0.51,15.757,0.352,0.512,0.023,2112,0,0,5.09,15.8,2.695,-0.005,0.008,1254,-0.114,0.645,0.1,0.335,0.005,0.022,0.019,0.066,-0.469,0.701,0.002,0.22,0.107,0.583,-0.004
30904,Pampa,TX,"57,355",1,0.034,0.103,0.054,0.049,0.06,0.549,33957,0.355,8.602,0.269,0.578,0.032,1860,0,0,6.538,13.7,3.792,-0.017,0.017,800,-0.204,0.559,0.15,0.26,0.004,0.014,0.017,0.049,0.063,0.844,0.001,0.167,0.089,0.648,-0.003
30905,Wellington,TX,"8,490",0,0.036,0.04,0.013,0.018,0.006,0.64,32499,0.392,6.738,0.325,0.566,0.042,2584,0,0,9.345,10.5,8.86,-0.033,,,,0.573,0.018,0.096,0.005,0.003,0.008,0.049,0.756,0.809,0.001,0.166,0.071,0.655,0.025
30906,Memphis,TX,"9,400",0,0.052,0.071,0.012,0.004,0.013,0.601,29000,0.379,8.488,0.294,0.488,0.026,2063,0,0,6.922,10.7,8.631,-0.031,0.106,432,-0.06,0.575,0.034,0.303,0.004,0.009,0.014,0.053,0.679,0.826,0.001,0.169,0.087,0.622,0.009
30907,Matador,TX,"1,426",0,0.035,0,0,0,0,0.582,36160,0.471,,,,0.027,1490,0,0,8.484,10,,,,,,0.55,0.079,1.061,,,,0.032,1.841,0.82,0.001,0.171,0.07,0.646,-0.03
30908,Plainview,TX,"52,751",0,0.053,0.068,0.028,0.024,0.04,0.612,27000,0.417,7.827,0.339,0.487,0.019,1603,0,0,5.729,14.1,5.612,-0.007,0.019,7500,0.039,0.578,0.112,0.077,0.005,0.015,0.024,0.072,-0.417,0.874,0.001,0.184,0.074,0.615,-0.009
31001,Garden City,KS,"52,031",0,0.008,0.103,0.015,0.01,0.021,0.586,30158,0.37,8.429,0.286,0.606,0.047,2953,0.2,1.905,6.504,16.5,-1.545,-0.004,0.019,992,-0.031,0.685,0.186,0.104,0.006,0.008,0.018,0.207,0.517,0.55,0.002,0.16,0.079,0.614,0.003
31002,Ulysses,KS,"15,778",0,0.004,0.019,0.004,0.001,0.001,0.685,34785,0.305,5.824,0.247,0.601,0.073,3487,0.2,1.905,9.888,13.8,-3.071,-0.025,,,,0.651,0.053,0.029,0.006,0.005,0.007,0.123,0.8,0.69,0.002,0.116,0.074,0.658,-0.002
31003,Scott City,KS,"9,185",0,0.001,0.035,0.004,0,0.007,0.658,39001,0.32,5.73,0.262,0.662,0.042,2291,0.2,1.905,6.577,13.5,15.348,-0.034,,,,0.678,0.036,0.097,0.007,0.006,0.003,0.051,1.959,0.836,0.001,0.128,0.075,0.659,0.014
31004,Liberal,KS,"32,998",0,0.025,0.16,0.02,0.006,0.033,0.642,30590,0.34,7.505,0.265,0.62,0.036,2769,0.2,1.905,5.555,15.5,-8.461,0.023,0.03,1024,-0.005,0.633,0.173,0.173,0.005,0.012,0.019,0.209,1.114,0.525,0.002,0.147,0.079,0.626,-0.004
31005,Perryton,TX,"17,432",0,0.001,0.059,0.008,0.004,0.009,0.632,33736,0.366,8.223,0.284,0.588,0.046,2328,0,0,6.59,12.5,4.529,-0.027,,,,0.636,0.034,0.08,0.006,0.003,0.006,0.151,0.396,0.779,0.002,0.124,0.074,0.677,-0.006
31006,Guymon,OK,"29,937",0,0.005,0.043,0.007,0.008,0.006,0.609,30685,0.339,6.358,0.276,0.598,0.029,2403,0,0,6.397,14.7,0.488,-0.016,0.033,1470,-0.127,0.658,0.128,0.12,0.005,0.007,0.015,0.149,0.789,0.843,0.003,0.125,0.073,0.641,0.004
31007,Dumas,TX,"31,880",0,0.02,0.082,0.021,0.015,0.023,0.611,29327,0.334,5.804,0.276,0.601,0.038,1967,0,0,5.242,14.2,2.879,-0.024,,,,0.608,0.206,0.09,0.005,0.012,0.021,0.151,-0.356,0.568,0.002,0.142,0.072,0.665,-0.01
31101,Victoria,TX,"165,277",1,0.064,0.12,0.047,0.034,0.06,0.425,33599,0.472,12.592,0.346,0.5,0.028,2667,0,0,5.525,15.4,2.359,0.006,0.006,1194,-0.128,0.608,0.161,0.809,0.004,0.013,0.017,0.044,-0.449,0.703,0.001,0.201,0.092,0.592,0.004
31102,La Grange,TX,"42,194",0,0.106,0.075,0.012,0.009,0.009,0.457,36151,0.518,20.962,0.309,0.543,0.027,1581,0,0,5.745,14.4,2.489,-0.018,,,,0.586,0.134,1.316,0.005,0.025,0.022,0.068,0.372,0.723,0.002,0.172,0.069,0.6,0.01
31103,Gonzales,TX,"18,628",0,0.08,0.046,0.018,0.017,0.02,0.492,28893,0.442,13.004,0.312,0.469,0.025,2045,0,0,5.388,14,-1.242,-0.021,,,,0.583,0.133,0.759,0.004,0.022,0.023,0.109,-0.823,0.584,0.002,0.21,0.088,0.572,-0.004
31201,Austin,TX,"1,298,076",1,0.078,0.171,0.138,0.125,0.152,0.249,41322,0.542,22.009,0.321,0.471,0.032,3399,0,0,5.891,15.6,-2.109,0.002,0.008,3161,0.098,0.709,0.139,2.074,0.004,0.037,0.027,0.12,-0.191,0.453,0.001,0.193,0.103,0.523,-0.009
31202,Burnet,TX,"51,191",0,0.011,0.066,0.03,0.023,0.041,0.349,41431,0.457,11.996,0.337,0.524,0.035,2038,0,0,5.983,14.1,10.297,-0.015,,,,0.534,0.082,0.649,0.005,0.034,0.025,0.044,0.27,0.501,0.001,0.173,0.1,0.656,-0.003
31301,San Antonio,TX,"1,724,863",1,0.06,0.222,0.111,0.094,0.128,0.242,34002,0.537,14.409,0.393,0.471,0.026,2604,0,0,5.845,15.8,1.064,0.003,0.007,6515,-0.104,0.631,0.076,0.993,0.004,0.03,0.024,0.097,-0.88,0.626,0.001,0.232,0.109,0.543,-0.006
31302,Beeville,TX,"47,805",0,0.099,0.08,0.022,0.019,0.026,0.466,18313,0.462,13.835,0.324,0.515,0.024,2161,0,0,5.794,14.3,0.022,-0.014,0.021,720,-0.107,0.417,0.064,0.166,0.003,0.016,0.021,0.025,-0.714,0.491,0.001,0.236,0.098,0.558,0.011
